294,36.01,34.28,53.55
296,36.02,34.31,53.05
298,36.01,34.38,53.7
300,36.01,34.93,55.2
302,35.96,35.01,54.4
304,35.96,35.05,53.9
306,35.96,35.14,53.8
308,35.93,35.15,53.55
310,36,35.23,54.4
312,36,35.35,55.5
314,36.01,35.38,55.1
316,35.96,35.48,54.85
318,35.86,35.64,53.5
320,35.91,36.17,54.35
322,35.91,36.27,54.2
324,35.93,36.32,54.35
326,35.91,36.49,55.1
328,35.93,36.65,54.65
330,35.84,36.81,54.55
332,35.76,37.48,54.1
334,35.73,37.64,53.65
336,35.65,37.88,53.65
338,35.66,38.6,53.05
340,35.62,38.84,53.7
342,35.51,39.05,53.4
344,35.55,39.82,52.65
346,35.48,40.1,53.5
348,35.47,40.93,53.5
350,35.4,41.24,54.2
352,35.41,42.01,54.05
354,35.39,42.32,53.95
356,35.35,42.63,52.55
358,35.35,43.48,53.65
360,35.27,43.77,52.9
362,35.24,44.6,52.95
364,35.22,44.93,53.35
366,35.14,45.73,53.1
368,35.14,46.11,53.7
370,35.15,46.88,53.05
372,35.1,47.73,53.5
374,35.05,48.04,53.65
376,35.14,48.87,54.35
378,35.09,49.2,53.95
380,35.14,49.99,53.9
382,35.14,50.22,53.9
384,35.12,51.05,54.85
386,35.14,51.34,54.1
388,35.08,52.07,54.55
390,35.1,52.38,53.9
392,35.14,53.12,54.7
394,35.05,53.37,55.2
396,35.09,54.11,54.95
398,35.14,54.39,53.95
400,35.16,55.08,54.85
402,35.16,55.34,55.35
404,35.17,56.02,55
406,35.3,56.21,54.55
408,35.27,56.39,55.35
410,35.34,57.08,56.2
412,35.37,57.24,56.4
414,35.44,57.91,56.55
416,35.47,58.07,57
418,35.49,58.14,57.95
420,35.59,58.81,57.4
422,35.66,58.95,57.8
424,35.67,59.05,57.4
426,35.78,59.09,58.35
428,35.86,59.21,59.15
430,35.89,59.77,59.1
432,36.01,59.81,59.15
434,36.09,59.84,60.7
436,36.12,59.87,59.65
438,36.26,59.88,60.3
440,36.32,59.91,60.1
442,36.39,59.89,60.65
444,36.52,60.36,61
446,36.56,60.31,61.15
448,36.68,60.28,63.15
450,36.77,60.19,62.15
452,36.84,60.08,61.85
454,36.91,59.96,63.1
456,37.07,59.38,63.45
458,37.1,59.25,62.65
460,37.23,59.05,64.45
462,37.3,58.89,64.45
464,37.46,58.73,64.85
466,37.58,58.06,65.15
468,37.7,57.82,64.7
470,37.83,57.6,66.4
472,37.98,57.35,66.75
474,38.08,56.66,66.6
476,38.13,56.27,66.75
478,38.31,55.55,67.45
480,38.3,55.16,67.35
482,38.46,54.88,68.65
484,38.55,54.07,68.6
486,38.71,53.74,68.15
488,38.8,52.9,68.65
490,38.88,52.55,67.5
492,38.98,51.73,69.3
494,39.02,51.46,69.35
496,39.13,50.63,69.75
498,39.2,50.33,69.65
500,39.28,49.51,70.6
502,39.35,49.22,72.45
504,39.46,48.46,71.3
506,39.5,48.24,70.15
508,39.53,47.48,76.5
510,39.5,47.26,74.9
512,39.55,46.99,73.75
514,39.63,46.27,77.95
