Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),CR:Zone Mean Air Temperature [C](TimeStep),CR:AFN Zone Infiltration Air Change Rate [ach](Hourly) 
 05/03  20:50:00,25.9,42.0,1.7,6.0,0.0,0.0,-25.121512050656329,28.045026811393286 
 05/03  21:00:00,26.1,42.0,2.3,359.0,0.0,0.0,-27.19526649081486,27.9669848112265,0.20393665021914512 
 05/03  21:10:00,25.9,44.0,2.9,347.0,0.0,0.0,-29.240443208006189,27.916997309654197 
 05/03  21:20:00,25.3,43.0,3.3,340.0,0.0,0.0,-31.25402408490925,27.791530521716685 
 05/03  21:30:00,25.3,43.0,2.1,342.0,0.0,0.0,-33.23261447433127,27.748377029323377 
 05/03  21:40:00,25.4,43.0,2.1,2.0,0.0,0.0,-35.17239470205147,27.696160692171089 
 05/03  21:50:00,25.2,44.0,0.4,234.0,0.0,0.0,-37.06906732931319,27.660986405461459 
 05/03  22:00:00,25.1,42.0,1.7,36.0,0.0,0.0,-38.91780102337472,27.58429835683848,0.29493347494761498 
 05/03  22:10:00,25.6,40.0,1.9,20.0,0.0,0.0,-40.7131726444461,27.555589754221644 
 05/03  22:20:00,25.5,42.0,1.3,13.0,0.0,0.0,-42.44911023800007,27.523173837925765 
 05/03  22:30:00,25.0,43.0,2.7,345.0,0.0,0.0,-44.11884109515518,27.403689346332539 
 05/03  22:40:00,25.0,41.0,2.2,13.0,0.0,0.0,-45.71485095853218,27.29903349428302 
 05/03  22:50:00,25.3,39.0,1.9,359.0,0.0,0.0,-47.22886278908914,27.262283660387799 
 05/03  23:00:00,25.4,39.0,1.6,322.0,0.0,0.0,-48.651846122610518,27.25483473253383,0.24817879295964188 
 05/03  23:10:00,25.4,38.0,2.1,340.0,0.0,0.0,-49.97407056493598,27.218321190943603 
 05/03  23:20:00,25.4,39.0,2.8,346.0,0.0,0.0,-51.185218719324748,27.169450569070539 
 05/03  23:30:00,25.5,38.0,3.3,352.0,0.0,0.0,-52.27457375143419,27.09408352289983 
 05/03  23:40:00,25.5,37.0,0.9,272.0,0.0,0.0,-53.231293516232707,27.071397802523408 
 05/03  23:50:00,25.6,37.0,2.2,341.0,0.0,0.0,-54.04477533999066,27.046292606761449 
 05/03  24:00:00,25.4,40.0,2.8,335.0,0.0,0.0,-54.705102452108189,26.994927029670998,0.32754409640599727 
 05/04  00:10:00,25.0,39.0,3.2,341.0,0.0,0.0,-54.91731316507244,26.88359826366146 
 05/04  00:20:00,24.9,40.0,3.6,343.0,0.0,0.0,-55.24210592362301,26.785763398431699 
 05/04  00:30:00,24.6,42.0,2.8,353.0,0.0,0.0,-55.39457407691948,26.71770204428936 
 05/04  00:40:00,24.7,41.0,2.8,338.0,0.0,0.0,-55.37243924597123,26.680289303957509 
 05/04  00:50:00,24.7,40.0,2.6,335.0,0.0,0.0,-55.176034664453997,26.651628099538486 
 05/04  01:00:00,24.7,40.0,1.7,355.0,0.0,0.0,-54.80828057209202,26.629249238913528,0.41198908336029196 
 05/04  01:10:00,24.6,40.0,0.9,353.0,0.0,0.0,-54.27447290807526,26.613436115580066 
 05/04  01:20:00,24.7,41.0,1.0,306.0,0.0,0.0,-53.581919767905478,26.582343517395679 
 05/04  01:30:00,24.6,40.0,1.5,308.0,0.0,0.0,-52.7394807293216,26.525310723399345 
 05/04  01:40:00,24.6,40.0,1.4,320.0,0.0,0.0,-51.757070684193298,26.469956224534998 
 05/04  01:50:00,24.5,40.0,1.1,321.0,0.0,0.0,-50.645183106050719,26.42432132196663 
 05/04  02:00:00,24.3,41.0,2.0,332.0,0.0,0.0,-49.41447246076669,26.374618806027216,0.13120627831404167 
 05/04  02:10:00,23.9,42.0,2.0,343.0,0.0,0.0,-48.07541757903057,26.270335504308258 
 05/04  02:20:00,23.6,43.0,2.4,350.0,0.0,0.0,-46.638071911213319,26.171641541638228 
 05/04  02:30:00,23.4,44.0,2.1,356.0,0.0,0.0,-45.111895133220077,26.097709578425748 
